album_group,album_type,artists,available_markets,href,id,images,name,release_date,release_date_precision,total_tracks,type,uri,external_urls.spotify
album,album,,,https://api.spotify.com/v1/albums/44jkgfcuBri1LuAsdLRlbt,44jkgfcuBri1LuAsdLRlbt,,Ziggy Stardust and the Spiders from Mars (The Motion Picture Soundtrack),1983-10-01,day,18,album,spotify:album:44jkgfcuBri1LuAsdLRlbt,https://open.spotify.com/album/44jkgfcuBri1LuAsdLRlbt
album,album,,,https://api.spotify.com/v1/albums/4NwG11AsDJluT732lSjMrV,4NwG11AsDJluT732lSjMrV,,Let's Dance (2018 Remaster),1983-04-14,day,8,album,spotify:album:4NwG11AsDJluT732lSjMrV,https://open.spotify.com/album/4NwG11AsDJluT732lSjMrV
album,album,,,https://api.spotify.com/v1/albums/1Pz3eps9CpFVp1nNV0TCO2,1Pz3eps9CpFVp1nNV0TCO2,,Montreal 1983,1983,year,28,album,spotify:album:1Pz3eps9CpFVp1nNV0TCO2,https://open.spotify.com/album/1Pz3eps9CpFVp1nNV0TCO2
album,album,,,https://api.spotify.com/v1/albums/5fxvWHvIDPIALfTfRiwyB0,5fxvWHvIDPIALfTfRiwyB0,,Scary Monsters (And Super Creeps) [2017 Remaster],1980,year,10,album,spotify:album:5fxvWHvIDPIALfTfRiwyB0,https://open.spotify.com/album/5fxvWHvIDPIALfTfRiwyB0
album,album,,,https://api.spotify.com/v1/albums/0S5nxDIEprOH23QeDoMeFK,0S5nxDIEprOH23QeDoMeFK,,Lodger (2017 Remaster),1979,year,10,album,spotify:album:0S5nxDIEprOH23QeDoMeFK,https://open.spotify.com/album/0S5nxDIEprOH23QeDoMeFK
album,album,,,https://api.spotify.com/v1/albums/1ZDPe7QlFtKG0nSjHSKaSE,1ZDPe7QlFtKG0nSjHSKaSE,,David Bowie narrates Prokofiev's Peter and the Wolf & The Young Person's Guide to the Orchestra,1978-05-02,day,41,album,spotify:album:1ZDPe7QlFtKG0nSjHSKaSE,https://open.spotify.com/album/1ZDPe7QlFtKG0nSjHSKaSE
album,album,,,https://api.spotify.com/v1/albums/2de6LD7eOW8zrlorbS28na,2de6LD7eOW8zrlorbS28na,,Low (2017 Remaster),1977,year,11,album,spotify:album:2de6LD7eOW8zrlorbS28na,https://open.spotify.com/album/2de6LD7eOW8zrlorbS28na
album,album,,,https://api.spotify.com/v1/albums/4I5zzKYd2SKDgZ9DRf5LVk,4I5zzKYd2SKDgZ9DRf5LVk,,"""Heroes"" (2017 Remaster)",1977,year,10,album,spotify:album:4I5zzKYd2SKDgZ9DRf5LVk,https://open.spotify.com/album/4I5zzKYd2SKDgZ9DRf5LVk
album,album,,,https://api.spotify.com/v1/albums/0MWrKayUshRuT8maG4ZAOU,0MWrKayUshRuT8maG4ZAOU,,Station to Station (2016 Remaster),1976-01-23,day,6,album,spotify:album:0MWrKayUshRuT8maG4ZAOU,https://open.spotify.com/album/0MWrKayUshRuT8maG4ZAOU
album,album,,,https://api.spotify.com/v1/albums/49tQPxVOXs6kdrpxuKhu91,49tQPxVOXs6kdrpxuKhu91,,Live Nassau Coliseum '76,1976,year,15,album,spotify:album:49tQPxVOXs6kdrpxuKhu91,https://open.spotify.com/album/49tQPxVOXs6kdrpxuKhu91
album,album,,,https://api.spotify.com/v1/albums/0lITGovWgaQGi42EfqcE5P,0lITGovWgaQGi42EfqcE5P,,Young Americans (2016 Remaster),1975-03-07,day,8,album,spotify:album:0lITGovWgaQGi42EfqcE5P,https://open.spotify.com/album/0lITGovWgaQGi42EfqcE5P
